Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
526,00:00:21.040,7.141601765316719,6.385046728971963,6.9344626168224295,8.105295950155764
527,00:00:21.080,6.250103842159916,5.355763239875389,5.413395638629283,7.981152647975078
528,00:00:21.120,13.120781412253374,19.958566978193147,5.530646417445483,13.873130841121496
529,00:00:21.160,4.468483904465213,5.6382398753894085,2.573442367601246,5.193769470404985
530,00:00:21.200,2.9503894080996886,2.9005841121495326,2.1876947040498442,3.7628894080996886
531,00:00:21.240,2.902102803738318,2.4634345794392525,2.3835669781931466,3.8593068535825545
532,00:00:21.280,2.8412253374870198,2.671183800623053,2.2419392523364485,3.6105529595015575
533,00:00:21.320,2.5309709241952234,2.189057632398754,2.01386292834891,3.389992211838006
534,00:00:21.360,2.0192757009345796,1.719392523364486,1.624221183800623,2.7142133956386294
535,00:00:21.400,1.5204439252336448,1.314018691588785,0.8610202492211838,2.3862928348909658
536,00:00:21.440,0.2785176531671859,0.44633956386292833,0.12184579439252337,0.2673676012461059
537,00:00:21.480,0.3803089304257528,0.7203660436137072,0.11203271028037383,0.3085280373831776
538,00:00:21.520,0.22159916926272064,0.394898753894081,0.07772585669781931,0.19217289719626168
539,00:00:21.560,0.1321261682242991,0.20167445482866045,0.06662772585669782,0.12807632398753893
540,00:00:21.600,3.17532450674974,6.275467289719626,0.5920171339563863,2.658489096573209
541,00:00:21.640,1.3084371754932502,2.769626168224299,0.23309968847352025,0.9225856697819315
542,00:00:21.680,0.7706645898234683,1.6256230529595015,0.15408878504672896,0.5322819314641745
543,00:00:21.720,0.35632139148494285,0.5876947040498443,0.12044392523364486,0.3608255451713396
544,00:00:21.760,0.42028816199376945,0.8534267912772585,0.10408878504672897,0.30334890965732086
545,00:00:21.800,0.3103063343717549,0.6015576323987539,0.08687694704049845,0.24248442367601247
546,00:00:21.840,0.21636812045690548,0.3494158878504673,0.08376168224299066,0.21592679127725856
547,00:00:21.880,0.6455607476635514,1.280607476635514,0.16063084112149534,0.49544392523364483
548,00:00:21.920,0.45852803738317754,0.8019859813084113,0.13422897196261682,0.4393691588785047
549,00:00:21.960,0.45912512980269987,0.9177180685358255,0.1140576323987539,0.34559968847352024
550,00:00:22.000,0.785202492211838,1.7434968847352026,0.14684579439252338,0.46526479750778815
551,00:00:22.040,0.47520768431983385,0.9325545171339564,0.10829439252336448,0.3847741433021807
552,00:00:22.080,1.257294911734164,2.687344236760125,0.19287383177570094,0.8916666666666667
553,00:00:22.120,0.660643821391485,1.414057632398754,0.10907320872274143,0.4588006230529595
554,00:00:22.160,0.4783229491173417,1.0167834890965732,0.09100467289719626,0.32718068535825545
555,00:00:22.200,0.5157191069574247,1.002297507788162,0.12157320872274144,0.4232866043613707
556,00:00:22.240,0.5781671858774663,1.2241433021806853,0.10716510903426792,0.40319314641744547
557,00:00:22.280,0.3817367601246106,0.7072429906542056,0.09190031152647975,0.3460669781931464
558,00:00:22.320,0.2901998961578401,0.5644859813084112,0.06347352024922118,0.24264018691588785
559,00:00:22.360,0.2319055036344756,0.38481308411214954,0.06954828660436137,0.2413551401869159
560,00:00:22.400,0.2989096573208723,0.5235981308411215,0.08200934579439252,0.2911214953271028
561,00:00:22.440,0.1400571131879543,0.1756619937694704,0.05109034267912772,0.1934190031152648
562,00:00:22.480,0.3500129802699896,0.6401479750778816,0.0824766355140187,0.32741433021806854
563,00:00:22.520,0.2869158878504673,0.5527258566978193,0.06947040498442368,0.23855140186915888
564,00:00:22.560,9.243341121495327,18.104556074766354,2.32398753894081,7.3014797507788165
565,00:00:22.600,0.14093977154724818,0.27102803738317754,0.04244548286604361,0.10934579439252337
566,00:00:22.640,0.08918743509865006,0.17207943925233646,0.02484423676012461,0.0706386292834891
567,00:00:22.680,0.11047507788161993,0.1961448598130841,0.027998442367601246,0.10728193146417446
568,00:00:22.720,0.10674974039460022,0.22492211838006232,0.023403426791277257,0.07192367601246107
569,00:00:22.760,0.11613447559709243,0.22690809968847353,0.030490654205607478,0.09100467289719626
570,00:00:22.800,0.16255192107995847,0.3434968847352025,0.03531931464174455,0.10883956386292835
571,00:00:22.840,0.10151869158878506,0.18146417445482865,0.021144859813084112,0.10194704049844237
572,00:00:22.880,0.10563343717549324,0.19256230529595014,0.036253894080996885,0.08808411214953271
573,00:00:22.920,0.11221443406022846,0.17963395638629284,0.03718847352024922,0.1198208722741433
574,00:00:22.960,0.21996365524402905,0.4979361370716511,0.031386292834890965,0.13056853582554517
575,00:00:23.000,0.2522455867082035,0.5229750778816199,0.0581386292834891,0.17562305295950156
576,00:00:23.040,0.7991043613707166,1.6526090342679127,0.12414330218068535,0.6205607476635514
577,00:00:23.080,0.42223520249221186,0.8101246105919003,0.07246884735202493,0.3841121495327103
578,00:00:23.120,0.1711318795430945,0.2868380062305296,0.05097352024922119,0.1755841121495327
579,00:00:23.160,0.3868380062305296,0.8421339563862928,0.11456386292834891,0.20381619937694703
580,00:00:23.200,0.8591121495327102,1.8708333333333333,0.27242990654205607,0.4340732087227414
581,00:00:23.240,1.1394859813084113,2.3343847352024922,0.5108255451713396,0.5732476635514019
582,00:00:23.280,1.4647066458982347,3.331386292834891,0.5391744548286604,0.5235591900311527
583,00:00:23.320,1.3610981308411214,2.934657320872274,0.545404984423676,0.6032320872274143
